City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Kirkuk,IQ,35.4681,44.3922,96.96,15,0,7.81,clear sky
213,Taltal,CL,-25.4,-70.4833,62.6,60,0,5.12,clear sky
214,Waingapu,ID,-9.6567,120.2641,73.0,83,10,7.54,clear sky
215,Prince Rupert,CA,54.3161,-130.3201,55.49,88,75,3.44,broken clouds
216,Leshukonskoye,RU,64.8989,45.7622,62.73,64,100,2.82,overcast clouds
217,Aksu,CN,41.1231,80.2644,80.1,24,0,12.73,clear sky
218,Pinsk,BY,52.1229,26.0951,54.61,87,100,8.25,overcast clouds
219,Linjiang,CN,41.8069,126.9078,62.56,99,100,1.66,overcast clouds
220,Mahon,ES,39.8885,4.2658,86.56,48,0,4.61,clear sky
221,Pyu,MM,18.4833,96.4333,75.25,98,52,3.27,broken clouds
222,Byron Bay,AU,-28.65,153.6167,56.71,73,25,10.94,scattered clouds
223,Bubaque,GW,11.2833,-15.8333,80.62,86,100,15.35,overcast clouds
224,Avera,US,33.194,-82.5271,91.54,40,20,6.71,few clouds
225,Guerrero Negro,MX,27.9769,-114.0611,80.42,46,2,9.13,clear sky
226,Morrope,PE,-6.5417,-80.0111,69.91,59,0,17.07,clear sky
227,Santa Marta,CO,11.2408,-74.199,84.83,74,100,14.5,overcast clouds
228,Khatanga,RU,71.9667,102.5,57.67,60,100,4.12,overcast clouds
229,Antonio Escobedo,MX,20.8,-104.0167,76.33,63,100,4.65,overcast clouds
230,Merrill,US,45.1805,-89.6835,86.11,52,40,6.91,scattered clouds
231,Monte Alegre,BR,-2.0078,-54.0692,92.5,44,95,4.0,overcast clouds
232,Feijo,BR,-8.1642,-70.3536,88.52,57,72,1.83,broken clouds
233,Clyde River,CA,70.4692,-68.5914,35.83,87,75,17.27,broken clouds
234,Rivadavia,AR,-33.1905,-68.4608,53.69,27,64,7.09,broken clouds
235,Tommot,RU,58.9564,126.2925,64.85,91,7,1.39,clear sky
236,Jackson,US,42.4165,-122.8345,81.16,53,0,5.75,clear sky
237,Lorengau,PG,-2.0226,147.2712,81.63,78,78,8.14,moderate rain
238,Ponta Do Sol,PT,32.6667,-17.1,76.01,75,2,9.62,clear sky
239,Whitehorse,CA,60.7161,-135.0538,56.01,76,100,18.99,overcast clouds
240,Wuwei,CN,37.9281,102.6414,66.76,51,100,3.91,overcast clouds
241,Vuktyl,RU,63.8567,57.3094,59.92,90,71,3.29,broken clouds
242,Bacarra,PH,18.2529,120.6125,80.1,80,85,3.24,overcast clouds
243,Linxia,CN,35.6003,103.2064,58.96,76,100,1.05,overcast clouds
244,Komsomolskiy,UZ,40.4272,71.7189,83.12,32,0,2.3,clear sky
245,Hovd,MN,48.0056,91.6419,66.52,40,18,8.25,few clouds
246,Lagoa,PT,39.05,-27.9833,70.81,88,0,9.8,clear sky
247,Miandrivazo,MG,-19.5167,45.4667,72.09,38,0,10.69,clear sky
