City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Mlonggo,ID,77.02,overcast clouds,-6.5333,110.7,Asia Metal Art
469,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
477,Oussouye,SN,84.29,overcast clouds,12.485,-16.5469,Auberge du Routard
480,Kenora,CA,83.37,few clouds,49.8167,-94.4337,Maynard Lake Lodge
487,Shelburne,CA,81.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
491,Aloleng,PH,80.02,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
493,Japura,ID,75.58,broken clouds,-0.3167,102.35,Rumah mbah Jamah
496,Jieshi,CN,83.3,overcast clouds,22.8134,115.8257,Yuehai Hotel
500,Conceicao Da Barra,BR,76.69,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
505,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
508,Bandarbeyla,SO,76.35,clear sky,9.4942,50.8122,JABIR HOTEL
511,Eyl,SO,78.06,clear sky,7.9803,49.8164,Amiin Hotel
513,Vale Da Amoreira,PT,89.56,overcast clouds,39.0697,-7.6985,Hotel Candolaria Cabeço De Vide
519,Mahina,PF,78.57,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
521,Sarangani,PH,81.86,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
523,Kot Addu,PK,88.23,few clouds,30.4692,70.9671,Mohammad Ayub General Store
527,Lazaro Cardenas,MX,87.57,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
528,Sechura,PE,75.16,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
530,Orillia,CA,87.89,overcast clouds,44.6087,-79.4207,Knights Inn Orillia
531,Erzin,TR,76.46,clear sky,36.9559,36.2,Artemis Otel
533,Tiverton,GB,78.04,clear sky,50.9,-3.4833,Best Western Tiverton Hotel
537,Westport,US,86.31,clear sky,41.1415,-73.3579,The Westport Inn
539,Hirara,JP,84.6,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
543,Northam,GB,80.26,overcast clouds,51.0333,-4.2167,Durrant House Hotel
547,Mana,GF,81.0,overcast clouds,5.6592,-53.7767,LE SAMANA
549,Kourou,GF,87.85,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
551,Chapleau,CA,82.49,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
553,Jaora,IN,76.06,overcast clouds,23.6333,75.1333,Hotel celebration
554,Marsa Matruh,EG,78.44,clear sky,31.3525,27.2453,Beau Site
561,Carutapera,BR,82.76,broken clouds,-1.195,-46.02,Lidera
562,Shu,KZ,79.23,clear sky,43.5983,73.7614,Shyngyzkhan
563,Bandundu,CD,86.67,overcast clouds,-3.3167,17.3667,Coja Color
569,Muisne,EC,75.81,overcast clouds,0.6,-80.0333,Quinta Samay
571,Miraflores,MX,75.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
577,Rincon,US,84.16,light rain,32.296,-81.2354,Days Inn Rincon
580,Coos Bay,US,76.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
583,Campoverde,PE,87.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
585,Tambun,ID,77.04,few clouds,-6.2641,107.0712,Metland Hotel Bekasi
586,Nador,MA,80.67,few clouds,35.174,-2.9287,Hôtel La Giralda
590,Elliot Lake,CA,81.79,clear sky,46.3834,-82.6331,Paris Plaza
591,Ilebo,CD,80.11,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
592,Tiarei,PF,78.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
593,Shubarkuduk,KZ,80.55,broken clouds,49.1447,56.4872,Sirius
594,Finschhafen,PG,78.8,broken clouds,-6.6024,147.8681,Cossam Guest House
597,Manokwari,ID,75.47,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
598,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
604,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
605,Pacifica,US,86.72,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
606,Inirida,CO,85.69,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
615,Sioux Lookout,CA,84.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
618,Nieuwpoort,BE,78.24,clear sky,51.1244,2.7735,Hotel Gemeente Huis
620,Samarai,PG,79.41,scattered clouds,-10.6167,150.6667,Nuli Sapi
623,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
625,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
627,Barcelos,PT,80.92,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
629,Galiakot,IN,81.55,overcast clouds,23.5167,74.0,Galiakot
630,Burla,IN,78.01,broken clouds,21.5,83.8667,VSSUT Guest House
632,Pokaran,IN,89.26,overcast clouds,26.9167,71.9167,Motel Pokaran - RTDC
634,Coxim,BR,89.38,overcast clouds,-18.5067,-54.76,Hotel Avenida
640,Matara,LK,78.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
643,Mahibadhoo,MV,81.5,very heavy rain,3.7833,72.9667,Omadhoo Inn
644,Myitkyina,MM,76.01,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
645,Chapais,CA,78.58,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
647,Faanui,PF,77.13,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
648,Tautira,PF,75.58,scattered clouds,-17.7333,-149.15,Pension Oaoa
649,Acu,BR,86.74,broken clouds,-5.5767,-36.9086,Hotel Oásis
650,Kanodar,IN,83.55,overcast clouds,24.1,72.3833,Vipul
653,Celestun,MX,85.17,scattered clouds,20.8667,-90.4,Posada Lilia
663,Wilmington,US,88.0,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
664,Halifax,CA,78.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
665,Meulaboh,ID,77.27,broken clouds,4.1363,96.1285,Kost Pria
666,Maragogi,BR,76.37,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
669,Puerto Quijarro,BO,82.15,overcast clouds,-17.7833,-57.7667,Hotel palance
674,Lunen,DE,76.08,clear sky,51.6167,7.5167,Ringhotel Am Stadtpark
676,Gigmoto,PH,79.75,overcast clouds,13.7796,124.39,Cj's Travellers Inn
684,Petapa,GT,79.95,scattered clouds,14.5028,-90.5517,La Visión del Espíritu Santo
689,Kyaikto,MM,79.2,light rain,17.3,97.0167,နီလာ တည်းခိုခန်း
692,Alappuzha,IN,75.99,overcast clouds,9.49,76.3264,Panoramic Sea Resort
694,Jalu,LY,87.26,clear sky,29.0331,21.5482,صاحبة الفخامة
695,Puerto Leguizamo,CO,78.94,overcast clouds,-0.1934,-74.7819,la casona de juancho
698,Manzil Kamil,TN,81.84,clear sky,35.6248,10.6673,Boukarra Ali
703,Weligama,LK,79.05,overcast clouds,5.9667,80.4167,Weligama Bay Resort
705,Bocas Del Toro,PA,82.81,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
706,Volta Redonda,BR,86.22,overcast clouds,-22.5231,-44.1042,Hotel Dexter
707,Mitsamiouli,KM,77.34,clear sky,-11.3847,43.2844,Foyer ADM
709,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
